level_key,features_set,K,classifier,Precision,Recall,F1_score
Level1,all_features_help_received,0,Dummy random,0.24074074074074073,0.18181818181818182,0.20460372960372958
Level1,all_features_help_received,1,Dummy random,0.5211111111111112,0.4,0.4041269841269841
Level1,all_features_help_received,2,Dummy random,0.5428571428571428,0.2571428571428571,0.34674185463659146
Level1,all_features_help_received,3,Dummy random,0.46158730158730155,0.2857142857142857,0.3328732388155138
Level1,all_features_help_received,4,Dummy random,0.3750880902043693,0.23255813953488372,0.2756857945136439
Level1,all_features_help_received,0,Ordered baseline,0.6427272727272727,0.3939393939393939,0.35800045913682277
Level1,all_features_help_received,1,Ordered baseline,0.8660606060606061,0.3,0.3565359477124183
Level1,all_features_help_received,2,Ordered baseline,0.7841614906832298,0.42857142857142855,0.45835222978080115
Level1,all_features_help_received,3,Ordered baseline,0.9478260869565218,0.4,0.3874978354978355
Level1,all_features_help_received,4,Ordered baseline,0.8794142980189491,0.5348837209302325,0.5502965631447363
Level1,all_features_help_received,0,Naive Bayes,0.6491046831955923,0.6363636363636364,0.5810173810173811
Level1,all_features_help_received,1,Naive Bayes,0.701851851851852,0.7333333333333333,0.7011111111111111
Level1,all_features_help_received,2,Naive Bayes,0.6688311688311688,0.7142857142857143,0.6800445930880714
Level1,all_features_help_received,3,Naive Bayes,0.7598343685300207,0.8571428571428571,0.805194805194805
Level1,all_features_help_received,4,Naive Bayes,0.6416343669250646,0.7441860465116279,0.6790697674418605
Level1,all_features_help_received,0,Logistic regression,0.4318181818181818,0.5151515151515151,0.4633871179325725
Level1,all_features_help_received,1,Logistic regression,0.6292929292929293,0.6333333333333333,0.595371842430666
Level1,all_features_help_received,2,Logistic regression,0.8162337662337663,0.8,0.7954787085221867
Level1,all_features_help_received,3,Logistic regression,0.8197802197802199,0.8571428571428571,0.829399585921325
Level1,all_features_help_received,4,Logistic regression,0.8453087409783481,0.813953488372093,0.7907260697958371
Level1,all_features_help_received,0,SVM,0.4984848484848485,0.5757575757575758,0.5095359186268277
Level1,all_features_help_received,1,SVM,0.6725,0.6666666666666666,0.6123931623931624
Level1,all_features_help_received,2,SVM,0.7624844720496895,0.7142857142857143,0.6974458874458874
Level1,all_features_help_received,3,SVM,0.8151111111111111,0.8571428571428571,0.8265228288111583
Level1,all_features_help_received,4,SVM,0.7579134366925064,0.7441860465116279,0.7049095607235142
Level1,all_features_help_received,0,Decision Tree,0.6797520661157024,0.5454545454545454,0.5050745550745551
Level1,all_features_help_received,1,Decision Tree,0.7786492374727668,0.7666666666666667,0.7606944444444445
Level1,all_features_help_received,2,Decision Tree,0.7336507936507937,0.7142857142857143,0.7207008864151722
Level1,all_features_help_received,3,Decision Tree,0.6929049897470949,0.6857142857142857,0.6840136054421769
Level1,all_features_help_received,4,Decision Tree,0.6536544850498339,0.6511627906976745,0.6465199484128635
Level1,all_features_help_received,0,Random Forest,0.5155844155844156,0.5454545454545454,0.5063170893891897
Level1,all_features_help_received,1,Random Forest,0.7122222222222222,0.7666666666666667,0.7353535353535354
Level1,all_features_help_received,2,Random Forest,0.7671201814058957,0.7428571428571429,0.7274097331240187
Level1,all_features_help_received,3,Random Forest,0.862111801242236,0.9142857142857143,0.8870129870129869
Level1,all_features_help_received,4,Random Forest,0.7689922480620156,0.7674418604651163,0.7511627906976743
Level1,all_features_help_requested,0,Dummy random,0.2923936333027242,0.2727272727272727,0.26875397329942785
Level1,all_features_help_requested,1,Dummy random,0.23730158730158732,0.23333333333333334,0.21243386243386245
Level1,all_features_help_requested,2,Dummy random,0.3172335600907029,0.2571428571428571,0.2722402824036218
Level1,all_features_help_requested,3,Dummy random,0.6161904761904761,0.3142857142857143,0.39981859410430837
Level1,all_features_help_requested,4,Dummy random,0.4340091433114689,0.3023255813953488,0.35017534145441126
Level1,all_features_help_requested,0,Ordered baseline,0.07939393939393939,0.21212121212121213,0.11363636363636363
Level1,all_features_help_requested,1,Ordered baseline,0.13333333333333333,0.3,0.1822222222222222
Level1,all_features_help_requested,2,Ordered baseline,0.08405797101449276,0.2,0.11428571428571428
Level1,all_features_help_requested,3,Ordered baseline,0.0047619047619047615,0.02857142857142857,0.008163265306122448
Level1,all_features_help_requested,4,Ordered baseline,0.03423772609819121,0.11627906976744186,0.05072759417924656
Level1,all_features_help_requested,0,Naive Bayes,0.5172176308539944,0.6060606060606061,0.5262145262145261
Level1,all_features_help_requested,1,Naive Bayes,0.6185185185185186,0.7,0.6455555555555555
Level1,all_features_help_requested,2,Naive Bayes,0.5863945578231293,0.6285714285714286,0.5989974937343359
Level1,all_features_help_requested,3,Naive Bayes,0.6758241758241758,0.7428571428571429,0.7011144883485307
Level1,all_features_help_requested,4,Naive Bayes,0.5439276485788114,0.627906976744186,0.5502871231267438
Level1,all_features_help_requested,0,Logistic regression,0.47994652406417115,0.5454545454545454,0.494976076555024
Level1,all_features_help_requested,1,Logistic regression,0.58008658008658,0.6333333333333333,0.5820820820820821
Level1,all_features_help_requested,2,Logistic regression,0.74,0.7142857142857143,0.7104247104247102
Level1,all_features_help_requested,3,Logistic regression,0.7605872388481085,0.8,0.7739641311069883
Level1,all_features_help_requested,4,Logistic regression,0.7826873385012919,0.7441860465116279,0.7218029350104823
Level1,all_features_help_requested,0,SVM,0.480257116620753,0.5454545454545454,0.4980104071013161
Level1,all_features_help_requested,1,SVM,0.5933333333333334,0.6333333333333333,0.5583333333333333
Level1,all_features_help_requested,2,SVM,0.6754578754578754,0.6857142857142857,0.6504661654135337
Level1,all_features_help_requested,3,SVM,0.7593650793650794,0.8,0.7703606843194943
Level1,all_features_help_requested,4,SVM,0.7127745478036176,0.6976744186046512,0.6598778482499412
Level1,all_features_help_requested,0,Decision Tree,0.6002126528442318,0.6363636363636364,0.605704099821747
Level1,all_features_help_requested,1,Decision Tree,0.7152777777777779,0.7333333333333333,0.7085592769803296
Level1,all_features_help_requested,2,Decision Tree,0.6773417059131345,0.6571428571428571,0.6619354838709678
Level1,all_features_help_requested,3,Decision Tree,0.7928138528138529,0.8,0.7945843703334993
Level1,all_features_help_requested,4,Decision Tree,0.6023852116875372,0.6046511627906976,0.5961945031712473
Level1,all_features_help_requested,0,Random Forest,0.4843822843822844,0.5151515151515151,0.47861734225370595
Level1,all_features_help_requested,1,Random Forest,0.6795321637426901,0.7333333333333333,0.6984313725490197
Level1,all_features_help_requested,2,Random Forest,0.7507936507936508,0.7142857142857143,0.6985941043083899
Level1,all_features_help_requested,3,Random Forest,0.8126482213438735,0.8571428571428571,0.8284477427334569
Level1,all_features_help_requested,4,Random Forest,0.7796660703637447,0.7906976744186046,0.7707145952415345
Level1,all_features_nohelp,0,Dummy random,0.2727272727272727,0.15151515151515152,0.17765567765567766
Level1,all_features_nohelp,1,Dummy random,0.36666666666666664,0.2,0.22113617376775266
Level1,all_features_nohelp,2,Dummy random,0.3009523809523809,0.17142857142857143,0.18569340779790178
Level1,all_features_nohelp,3,Dummy random,0.3476190476190476,0.17142857142857143,0.2292626728110599
Level1,all_features_nohelp,4,Dummy random,0.4415623136553369,0.2558139534883721,0.2569870166313395
Level1,all_features_nohelp,0,Ordered baseline,0.0,0.0,0.0
Level1,all_features_nohelp,1,Ordered baseline,0.0,0.0,0.0
Level1,all_features_nohelp,2,Ordered baseline,0.0,0.0,0.0
Level1,all_features_nohelp,3,Ordered baseline,0.0,0.0,0.0
Level1,all_features_nohelp,4,Ordered baseline,0.0,0.0,0.0
Level1,all_features_nohelp,0,Naive Bayes,0.6136363636363636,0.6060606060606061,0.5246639325586694
Level1,all_features_nohelp,1,Naive Bayes,0.6185185185185186,0.7,0.6455555555555555
Level1,all_features_nohelp,2,Naive Bayes,0.5116692830978545,0.6,0.5517593984962406
Level1,all_features_nohelp,3,Naive Bayes,0.6666666666666667,0.7142857142857143,0.6683673469387755
