level_key,features_set,K,classifier,grid_F1,grid_params,precision,recall,f1_score
Level1,mean_sd_rate_features_nohelp_nosub,4,Naive Bayes,0.5300316839226275,{'naive_bayes_clf__alpha': 1.0},0.3794573643410853,0.5348837209302325,0.41011443337024744
Level1,mean_sd_rate_features_nohelp_nosub,4,Logistic regression,0.6461610526549478,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.6087366436203646,0.6046511627906976,0.5328165374677003
Level1,mean_sd_rate_features_nohelp_nosub,4,SVM,0.6111552838211878,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.4829247852503667,0.5348837209302325,0.45825027685492803
Level1,mean_sd_rate_features_nohelp_nosub,4,Random Forest,0.6851409714815513,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.6241560390097524,0.6511627906976745,0.6148148148148148
Level1,mean_rate_features_nohelp_nosub,0,Dummy random baseline,,,0.21590909090909088,0.15151515151515152,0.16636262288436202
Level1,mean_rate_features_nohelp_nosub,0,Ordered baseline,,,0.2109090909090909,0.2727272727272727,0.1793831168831169
Level1,mean_rate_features_nohelp_nosub,0,Teacher Ordered baseline,,,0.4636363636363637,0.5454545454545454,0.4741647241647241
Level1,mean_rate_features_nohelp_nosub,0,Naive Bayes,0.5174020590267052,{'naive_bayes_clf__alpha': 1.0},0.4234771962044689,0.5454545454545454,0.46587496587496596
Level1,mean_rate_features_nohelp_nosub,0,Logistic regression,0.6475526304748536,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.6994345367551109,0.6363636363636364,0.5824420677361855
Level1,mean_rate_features_nohelp_nosub,0,SVM,0.6417828265078396,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.5633143024447371,0.5454545454545454,0.47009569377990434
Level1,mean_rate_features_nohelp_nosub,0,Random Forest,0.7051490972295467,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.6050505050505051,0.6060606060606061,0.5980816569051862
Level1,mean_rate_features_nohelp_nosub,1,Dummy random baseline,,,0.21388888888888888,0.16666666666666666,0.15126984126984128
Level1,mean_rate_features_nohelp_nosub,1,Ordered baseline,,,0.606060606060606,0.2,0.2119047619047619
