level_key,features_set,K,classifier,Precision,Recall,F1_score
Level1,all_features_help_received,0,Dummy random,0.2559228650137741,0.24242424242424243,0.21600465810992128
Level1,all_features_help_received,1,Dummy random,0.43333333333333335,0.36666666666666664,0.3888888888888889
Level1,all_features_help_received,2,Dummy random,0.4092207792207792,0.2571428571428571,0.3002641056422569
Level1,all_features_help_received,3,Dummy random,0.52,0.3142857142857143,0.36380952380952386
Level1,all_features_help_received,4,Dummy random,0.3572997416020671,0.27906976744186046,0.3018879121694299
Level1,all_features_help_received,0,Ordered baseline,0.6427272727272727,0.3939393939393939,0.35800045913682277
Level1,all_features_help_received,1,Ordered baseline,0.8660606060606061,0.3,0.3565359477124183
Level1,all_features_help_received,2,Ordered baseline,0.7841614906832298,0.42857142857142855,0.45835222978080115
Level1,all_features_help_received,3,Ordered baseline,0.9478260869565218,0.4,0.3874978354978355
Level1,all_features_help_received,4,Ordered baseline,0.8794142980189491,0.5348837209302325,0.5502965631447363
Level1,all_features_help_received,0,Naive Bayes,0.6554677206851119,0.6363636363636364,0.582066276803119
Level1,all_features_help_received,1,Naive Bayes,0.701851851851852,0.7333333333333333,0.7011111111111111
Level1,all_features_help_received,2,Naive Bayes,0.6329004329004329,0.6857142857142857,0.6547891467799933
Level1,all_features_help_received,3,Naive Bayes,0.7598343685300207,0.8571428571428571,0.805194805194805
Level1,all_features_help_received,4,Naive Bayes,0.6416343669250646,0.7441860465116279,0.6790697674418605
Level1,all_features_help_received,0,Logistic regression,0.40702479338842973,0.48484848484848486,0.43130988585534036
Level1,all_features_help_received,1,Logistic regression,0.6292929292929293,0.6333333333333333,0.595371842430666
Level1,all_features_help_received,2,Logistic regression,0.8162337662337663,0.8,0.7954787085221867
Level1,all_features_help_received,3,Logistic regression,0.8197802197802199,0.8571428571428571,0.829399585921325
Level1,all_features_help_received,4,Logistic regression,0.7864341085271317,0.7906976744186046,0.7713894860269689
Level1,all_features_help_received,0,SVM,0.4984848484848485,0.5757575757575758,0.5095359186268277
Level1,all_features_help_received,1,SVM,0.6860869565217392,0.6666666666666666,0.622514619883041
Level1,all_features_help_received,2,SVM,0.798886827458256,0.7714285714285715,0.7660673422687152
Level1,all_features_help_received,3,SVM,0.8151111111111111,0.8571428571428571,0.8265228288111583
Level1,all_features_help_received,4,SVM,0.6982578978077852,0.7209302325581395,0.6857881136950904
Level1,all_features_help_received,0,Decision Tree,0.6357048748353097,0.6060606060606061,0.5581428318270425
Level1,all_features_help_received,1,Decision Tree,0.6393274853801169,0.6666666666666666,0.6405985552115584
Level1,all_features_help_received,2,Decision Tree,0.6462337662337662,0.6285714285714286,0.6365769496204279
Level1,all_features_help_received,3,Decision Tree,0.732077922077922,0.7428571428571429,0.7342956694873073
Level1,all_features_help_received,4,Decision Tree,0.6548347613219094,0.627906976744186,0.623293306533082
Level1,all_features_help_received,0,Random Forest,0.4843822843822844,0.5151515151515151,0.47861734225370595
Level1,all_features_help_received,1,Random Forest,0.746588693957115,0.8,0.7645098039215686
Level1,all_features_help_received,2,Random Forest,0.7671201814058957,0.7428571428571429,0.7274097331240187
Level1,all_features_help_received,3,Random Forest,0.862111801242236,0.9142857142857143,0.8870129870129869
Level1,all_features_help_received,4,Random Forest,0.7796660703637447,0.7906976744186046,0.7707145952415345
Level1,all_features_help_requested,0,Dummy random,0.24058769513314968,0.21212121212121213,0.21683501683501682
Level1,all_features_help_requested,1,Dummy random,0.39206349206349206,0.3,0.3196969696969697
Level1,all_features_help_requested,2,Dummy random,0.2987755102040816,0.2571428571428571,0.25873015873015875
Level1,all_features_help_requested,3,Dummy random,0.36190476190476195,0.17142857142857143,0.2285714285714285
Level1,all_features_help_requested,4,Dummy random,0.27944923293760504,0.20930232558139536,0.23178294573643407
Level1,all_features_help_requested,0,Ordered baseline,0.07939393939393939,0.21212121212121213,0.11363636363636363
Level1,all_features_help_requested,1,Ordered baseline,0.13333333333333333,0.3,0.1822222222222222
Level1,all_features_help_requested,2,Ordered baseline,0.08405797101449276,0.2,0.11428571428571428
Level1,all_features_help_requested,3,Ordered baseline,0.0047619047619047615,0.02857142857142857,0.008163265306122448
Level1,all_features_help_requested,4,Ordered baseline,0.03423772609819121,0.11627906976744186,0.05072759417924656
Level1,all_features_help_requested,0,Naive Bayes,0.6092089728453364,0.6060606060606061,0.5227272727272727
Level1,all_features_help_requested,1,Naive Bayes,0.6185185185185186,0.7,0.6455555555555555
Level1,all_features_help_requested,2,Naive Bayes,0.6210526315789474,0.6285714285714286,0.6190476190476191
Level1,all_features_help_requested,3,Naive Bayes,0.6758241758241758,0.7428571428571429,0.7011144883485307
Level1,all_features_help_requested,4,Naive Bayes,0.5439276485788114,0.627906976744186,0.5502871231267438
Level1,all_features_help_requested,0,Logistic regression,0.4701561065197428,0.5454545454545454,0.4908478726660545
Level1,all_features_help_requested,1,Logistic regression,0.58008658008658,0.6333333333333333,0.5820820820820821
Level1,all_features_help_requested,2,Logistic regression,0.74,0.7142857142857143,0.7104247104247102
Level1,all_features_help_requested,3,Logistic regression,0.7605872388481085,0.8,0.7739641311069883
Level1,all_features_help_requested,4,Logistic regression,0.7826873385012919,0.7441860465116279,0.7218029350104823
Level1,all_features_help_requested,0,SVM,0.480257116620753,0.5454545454545454,0.4980104071013161
Level1,all_features_help_requested,1,SVM,0.5705314009661836,0.6333333333333333,0.5672858617131064
Level1,all_features_help_requested,2,SVM,0.6754578754578754,0.6857142857142857,0.6504661654135337
Level1,all_features_help_requested,3,SVM,0.7593650793650794,0.8,0.7703606843194943
Level1,all_features_help_requested,4,SVM,0.6525798116195715,0.6744186046511628,0.640396210163652
Level1,all_features_help_requested,0,Decision Tree,0.4524793388429752,0.5151515151515151,0.4506974506974507
Level1,all_features_help_requested,1,Decision Tree,0.7150793650793652,0.6666666666666666,0.6545751633986928
Level1,all_features_help_requested,2,Decision Tree,0.5648979591836735,0.5714285714285714,0.565521978021978
Level1,all_features_help_requested,3,Decision Tree,0.7020779220779221,0.7142857142857143,0.7050273768043803
Level1,all_features_help_requested,4,Decision Tree,0.6146179401993356,0.6046511627906976,0.5987393312974709
Level1,all_features_help_requested,0,Random Forest,0.5155844155844156,0.5454545454545454,0.5063170893891897
Level1,all_features_help_requested,1,Random Forest,0.7450980392156862,0.8,0.7708333333333334
Level1,all_features_help_requested,2,Random Forest,0.7742212674543502,0.7428571428571429,0.7253235653235652
Level1,all_features_help_requested,3,Random Forest,0.8323376623376624,0.8571428571428571,0.8390907582545213
Level1,all_features_help_requested,4,Random Forest,0.7796660703637447,0.7906976744186046,0.7707145952415345
Level1,all_features_nohelp,0,Dummy random,0.3713924963924964,0.24242424242424243,0.26519742883379244
Level1,all_features_nohelp,1,Dummy random,0.5462962962962963,0.36666666666666664,0.42086956521739133
Level1,all_features_nohelp,2,Dummy random,0.19459183673469388,0.2,0.18705180533751958
Level1,all_features_nohelp,3,Dummy random,0.24502164502164503,0.17142857142857143,0.19552257266542983
Level1,all_features_nohelp,4,Dummy random,0.4209302325581395,0.32558139534883723,0.35526117089764575
Level1,all_features_nohelp,0,Ordered baseline,0.0,0.0,0.0
Level1,all_features_nohelp,1,Ordered baseline,0.0,0.0,0.0
Level1,all_features_nohelp,2,Ordered baseline,0.0,0.0,0.0
Level1,all_features_nohelp,3,Ordered baseline,0.0,0.0,0.0
Level1,all_features_nohelp,4,Ordered baseline,0.0,0.0,0.0
Level1,all_features_nohelp,0,Naive Bayes,0.6092089728453364,0.6060606060606061,0.5227272727272727
Level1,all_features_nohelp,1,Naive Bayes,0.6185185185185186,0.7,0.6455555555555555
