level_key,features_set,K,classifier,grid_F1,grid_params,precision,recall,f1_score
Level1,all_features_help_received,0,Dummy random,,,0.2537878787878788,0.12121212121212122,0.15815295815295818
Level1,all_features_help_received,0,Ordered baseline,,,0.6427272727272727,0.3939393939393939,0.35800045913682277
Level1,all_features_help_received,0,Naive Bayes,0.7913286288366433,{'naive_bayes_clf__alpha': 1.0},0.6755050505050505,0.6666666666666666,0.6569592024137477
Level1,all_features_help_received,0,Logistic regression,0.8786629812359115,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.546831955922865,0.5151515151515151,0.5072734751879137
Level1,all_features_help_received,0,SVM,0.8998951016497955,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.5484389348025711,0.6060606060606061,0.5493857493857494
Level1,all_features_help_received,0,Random Forest,0.8777692178822208,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 200}",0.4985236985236986,0.5454545454545454,0.49790108881017975
Level1,all_features_help_received,1,Dummy random,,,0.48707070707070704,0.4,0.4355799755799757
Level1,all_features_help_received,1,Ordered baseline,,,0.8660606060606061,0.3,0.3565359477124183
Level1,all_features_help_received,1,Naive Bayes,0.7896439270334956,{'naive_bayes_clf__alpha': 0.1},0.5801587301587302,0.5,0.5084110885733604
Level1,all_features_help_received,1,Logistic regression,0.8810117142540242,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.7365497076023393,0.7,0.6913725490196079
Level1,all_features_help_received,1,SVM,0.9042703207118716,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.5933333333333334,0.6333333333333333,0.5583333333333333
Level1,all_features_help_received,1,Random Forest,0.8777786421940521,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 200}",0.7791666666666667,0.8333333333333334,0.8052360916316036
Level1,all_features_help_received,2,Dummy random,,,0.276984126984127,0.22857142857142856,0.23815384615384616
Level1,all_features_help_received,2,Ordered baseline,,,0.7841614906832298,0.42857142857142855,0.45835222978080115
Level1,all_features_help_received,2,Naive Bayes,0.7480121921629609,{'naive_bayes_clf__alpha': 0.1},0.7123809523809523,0.6571428571428571,0.6754004329004328
Level1,all_features_help_received,2,Logistic regression,0.8514774580602487,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.7146428571428571,0.6857142857142857,0.6906617192331478
Level1,all_features_help_received,2,SVM,0.8823104215670139,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.6666666666666666,0.6285714285714286,0.6363687899402185
Level1,all_features_help_received,2,Random Forest,0.8701448860470158,"{'random_forest_clf__max_depth': 6, 'random_forest_clf__n_estimators': 200}",0.8285714285714286,0.8,0.8022011782380445
Level1,all_features_help_received,3,Dummy random,,,0.5714285714285714,0.3142857142857143,0.3476657329598506
Level1,all_features_help_received,3,Ordered baseline,,,0.9478260869565218,0.4,0.3874978354978355
Level1,all_features_help_received,3,Naive Bayes,0.7297725605700507,{'naive_bayes_clf__alpha': 1.0},0.7612244897959184,0.6571428571428571,0.6838095238095239
Level1,all_features_help_received,3,Logistic regression,0.8343079080791929,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.8388278388278388,0.8,0.7959375524592917
Level1,all_features_help_received,3,SVM,0.8788965893761771,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.8052631578947368,0.7428571428571429,0.7568253968253968
Level1,all_features_help_received,3,Random Forest,0.8647649522022034,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 200}",0.8038095238095238,0.8,0.7894962180676467
Level1,all_features_help_received,4,Dummy random,,,0.4154686398872446,0.32558139534883723,0.3525248721087154
Level1,all_features_help_received,4,Ordered baseline,,,0.8794142980189491,0.5348837209302325,0.5502965631447363
Level1,all_features_help_received,4,Naive Bayes,0.7964039356683345,{'naive_bayes_clf__alpha': 0.01},0.8259966777408638,0.813953488372093,0.8169837914023961
Level1,all_features_help_received,4,Logistic regression,0.8669125862209366,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.6815742397137746,0.6976744186046512,0.6833067264960953
Level1,all_features_help_received,4,SVM,0.8815617580065463,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.01, 'svm_gaussian_clf__kernel': 'rbf'}",0.7224031007751938,0.7209302325581395,0.7134578852222938
Level1,all_features_help_received,4,Random Forest,0.8737604485375261,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.747093023255814,0.7441860465116279,0.7287854341013561
Level1,all_features_help_requested,0,Dummy random,,,0.3575757575757576,0.30303030303030304,0.3084295641840399
Level1,all_features_help_requested,0,Ordered baseline,,,0.07939393939393939,0.21212121212121213,0.11363636363636363
Level1,all_features_help_requested,0,Naive Bayes,0.784084067007891,{'naive_bayes_clf__alpha': 0.1},0.79585326953748,0.7575757575757576,0.7572748107507465
Level1,all_features_help_requested,0,Logistic regression,0.8717037789010226,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.5078709169618261,0.48484848484848486,0.48460832097195733
Level1,all_features_help_requested,0,SVM,0.891292854670214,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.5982683982683983,0.6060606060606061,0.5898073487968378
Level1,all_features_help_requested,0,Random Forest,0.8851705071258402,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 50}",0.5570409982174688,0.5454545454545454,0.5125485625485625
Level1,all_features_help_requested,1,Dummy random,,,0.44957264957264953,0.23333333333333334,0.28143790849673206
Level1,all_features_help_requested,1,Ordered baseline,,,0.13333333333333333,0.3,0.1822222222222222
Level1,all_features_help_requested,1,Naive Bayes,0.7341619401983179,{'naive_bayes_clf__alpha': 0.1},0.61,0.5,0.51
Level1,all_features_help_requested,1,Logistic regression,0.8483110727874534,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.5523809523809523,0.5333333333333333,0.49777777777777776
Level1,all_features_help_requested,1,SVM,0.8914720805445613,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.6,0.6,0.538974358974359
Level1,all_features_help_requested,1,Random Forest,0.896210991568252,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.8708333333333333,0.8666666666666667,0.8627240143369175
Level1,all_features_help_requested,2,Dummy random,,,0.41380952380952385,0.2857142857142857,0.313795918367347
Level1,all_features_help_requested,2,Ordered baseline,,,0.08405797101449276,0.2,0.11428571428571428
Level1,all_features_help_requested,2,Naive Bayes,0.7849349428649631,{'naive_bayes_clf__alpha': 1.0},0.6294372294372294,0.5428571428571428,0.5661224489795919
Level1,all_features_help_requested,2,Logistic regression,0.8697172562510185,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.663896103896104,0.6285714285714286,0.6342058562555457
Level1,all_features_help_requested,2,SVM,0.8994803894737972,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.6555102040816326,0.6285714285714286,0.6317314022383147
Level1,all_features_help_requested,2,Random Forest,0.8881981713913761,"{'random_forest_clf__max_depth': 6, 'random_forest_clf__n_estimators': 100}",0.8095238095238095,0.8,0.7975753278979085
Level1,all_features_help_requested,3,Dummy random,,,0.475,0.22857142857142856,0.2864883884588318
Level1,all_features_help_requested,3,Ordered baseline,,,0.0047619047619047615,0.02857142857142857,0.008163265306122448
Level1,all_features_help_requested,3,Naive Bayes,0.7224378498485641,{'naive_bayes_clf__alpha': 0.1},0.78995670995671,0.7714285714285715,0.7698587127158556
Level1,all_features_help_requested,3,Logistic regression,0.8324278848761931,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.7601731601731602,0.7428571428571429,0.7385661957090529
Level1,all_features_help_requested,3,SVM,0.8805193832839233,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.7644468313641245,0.6857142857142857,0.7045378151260504
Level1,all_features_help_requested,3,Random Forest,0.8762555682621473,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.8038095238095238,0.8,0.7894962180676467
Level1,all_features_help_requested,4,Dummy random,,,0.3668327796234773,0.23255813953488372,0.2753488372093023
Level1,all_features_help_requested,4,Ordered baseline,,,0.03423772609819121,0.11627906976744186,0.05072759417924656
Level1,all_features_help_requested,4,Naive Bayes,0.7598488930325875,{'naive_bayes_clf__alpha': 0.01},0.7164082687338502,0.6976744186046512,0.7005201958384333
Level1,all_features_help_requested,4,Logistic regression,0.8401360676360676,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.6472868217054263,0.6511627906976745,0.6381113460183228
Level1,all_features_help_requested,4,SVM,0.8923912035676741,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7104423164614683,0.6976744186046512,0.6585835313317493
Level1,all_features_help_requested,4,Random Forest,0.8851030154356485,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 200}",0.7596899224806203,0.7441860465116279,0.7323366555924695
